"","PLT_CN","STATE","PLOT","LAT","LON","spcd","FORTYPE","FORGRP","HT_MAX","BOLE_BIOMASS","TOP_BIOMASS","TOTAL_BIOMASS","common_name","scientific_name","FORGRP_NAME"
"72",3488156010690,"AZ",257,36.364145,-109.108068,93,221,220,20.4216,3119.16869488845,542.3715004338,3661.54019532225,"Engelmann spruce","Picea engelmannii","Ponderosa pine group"
"73",3488156010690,"AZ",257,36.364145,-109.108068,122,221,220,24.0792,12175.5627456889,2004.98888893035,14180.5516346192,"ponderosa pine","Pinus ponderosa","Ponderosa pine group"
"74",3488196010690,"AZ",258,36.353721,-109.047603,746,221,220,14.3256,1341.4228986873,518.4521915533,1859.8750902406,"quaking aspen","Populus tremuloides","Ponderosa pine group"
"75",3488196010690,"AZ",258,36.353721,-109.047603,93,221,220,12.4968,421.9934209518,87.8986441236,509.8920650754,"Engelmann spruce","Picea engelmannii","Ponderosa pine group"
"76",3488196010690,"AZ",258,36.353721,-109.047603,122,221,220,17.3736,3414.00576323425,600.76287050655,4014.7686337408,"ponderosa pine","Pinus ponderosa","Ponderosa pine group"
"77",3488439010690,"AZ",261,36.31177,-109.890122,202,201,200,13.1064,1790.83770304845,317.21344089585,2108.0511439443,"Douglas-fir","Pseudotsuga menziesii","Douglas-fir group"
"78",3488795010690,"AZ",274,36.313652,-109.164979,122,221,220,24.6888,2595.9435732091,419.86839583255,3015.81196904165,"ponderosa pine","Pinus ponderosa","Ponderosa pine group"
"79",3488813010690,"AZ",275,34.107085,-109.694236,122,221,220,15.24,2389.5351339426,404.9489240058,2794.4840579484,"ponderosa pine","Pinus ponderosa","Ponderosa pine group"
"80",3488813010690,"AZ",275,34.107085,-109.694236,202,221,220,8.8392,105.1923755173,22.6241913642,127.8165668815,"Douglas-fir","Pseudotsuga menziesii","Ponderosa pine group"
"81",3488850010690,"AZ",276,36.3086,-109.050869,746,901,900,16.4592,1199.9073187977,464.7295798076,1664.6368986053,"quaking aspen","Populus tremuloides","Maple / beech / birch group"
"82",3489475010690,"AZ",293,36.276618,-109.102391,122,221,220,18.288,1284.15254225865,212.52567877365,1496.6782210323,"ponderosa pine","Pinus ponderosa","Ponderosa pine group"
